Converted Living Room Available in Mission Bay (Available now),"$1,333","San Francisco, CA","Available now. There are two roommates, both female in their mid-20's who work a 9-5. They're clean, respectful and I've enjoyed being their roommate for over a year. They live in the two single rooms of the apartment"
Private Room in 2 bedroom Mission apartment (Near 24th St BART),"$1,975","San Francisco, CA","If you're looking for a new place to call home, look at this open room! Only 1 block from 24th street BART station and up the street from all the amazing food of the Mission. Available in around December 15th, but flexibility for sooner or slightly later."
Private room with shared bathroom available for short term,$600,"San Francisco, CA","Room available Dec 1st to 15th
$40 day
ASAP"
177 Acre Cattle Ranch with 2 Homes in Squaw Valley,"$630,000","Squaw Valley, CA","40574-40310 Ruth Hill Rd,Squaw Valley, CA 93675
$630,000
7 bedrooms, 4.5 bathrooms
177 acresThis rare 177 acre cattle ranch is home to much wildlife including, deer, pig, and turkeys. It has two newer custom homes, each with private access. The larger home is a 2,340 sqft, 4 bed, 2.5 bath, & media room. The other is a 1,355 sqft, 3 bed, 2 bath. Both homes have open floor plans, attached garages, and many upgrades. This ranch is loaded with improvements, including, but not limited to a 60' round pen, 40 x 48 pole barn/tack room, 200x120 roping arena, pipe sorting pens, pipe frontage fencing, 2 springs, access roads, incredible views, less than an hour drive to the Central Valley, or Kings Canyon/Sequoia. You can easily lose yourself watching wildlife, hunting, relaxing, entertaining, ATV riding, horseback riding, shooting... A 150 acre portion of the land is in the Williamson Act, and it borders 280 acres of BLM. This place is ready for you to come out and start living your dream. 40310 Ruth Hill was built in 2005 and 40574 Ruth Hill was built in 2003."
1BR apartment in SF (604sqft),"$2,424","San Francisco, CA",
Apartment room on rent,"$1,282","San Francisco, CA","A Living Room Converted Bedroom with shared bath is available in a 2b2b apartment in 1st floor of Bayside apartments (570 Beale St., San Francisco, CA 94105) for $1282 rent per month + utilities.You can move in from December 22nd, 2018 itself, my lease will be transferred thereafter starting Jan 1st, 2019. Rent is due on 1st of every month. The room is unfurnished."
Daly city private room looking for 1-2 roommates (Female only),"$1,500","Daly City, CA",Looking for 1-2 roommates in Daly City private bedroom (Female only)
3 Beds 2 Baths Room only,"$1,100","Concord, CA","Available January 12th - 100 sqft bedroom within 2-story, 1240 sqft townhome in North Concord (Northwood Complex) for a 6-month term. 2 miles (5 min) from North Concord/Martinez Bart, 2.5 miles (8 min) from Downtown Concord, 7.7 miles (14min) to Walnut Creek, easy access to freeways (Highway 4 and I-680). Please note that pictures are from a listing and do not reflect the actual furniture."
Room for rent in Palo Alto,"$1,650","Modesto, CA",
Room de renta,$825,"Oakland, CA",
Sofa bed,$859,"San Francisco, California","Sofa - chaise - bed
Light grey fabric
83""W"
"PRIVATE ROOM, Dec 1st in Inner Richmond","$1,125","San Francisco, CA",
Furnished Private Bedroom,$650,"San Francisco, CA",
Private bed/bath available in 2BR apartment,"$1,800 Now $1,700","Menlo Park, CA",Posting for a friend:
SUPER CUTE Single Winter Sublet,$800,"Berkeley, CA",Stay at my cute and cozy apartment during the winter break!Available December 16th-January 20th (dates somewhat flexible)
Single Room in a Large 4 Bedroom House (short term and long term lease) 10 mins from Ashby BART,$650,"Oakland, CA","First month rent is HALF PRICE: 650$
After that, the rent is $1300Large, private furnished single bedroom with 3 other housemates in 20s and 30s (a working professional, a junior in UC Berkeley, and another roommate for the other room). 1.5 bathrooms - but one room has its own .5 bathroom, so 3 rooms share 1 bathroom."
Room in Sunny Victorian - Mission District,"$1,550","San Francisco, CA","Hey everyone - my name's Chantalle, I'm looking for a roommate to join our cozy Victorian home in the Mission district. There is 1 guy & girl (me), I'm looking for another girl to join!We are seeking a roommate who is tidy, kind, considerate, likes dogs (we have 2) and tolerant of city noise and neighbors. We love dogs but already have 2 so no pets please, sorry!"
Single Room in a Large 4 Bedroom House (short term and long term lease) 10 mins from Ashby BART,$650,"Oakland, CA","First month rent is HALF PRICE: 650$
After that, the rent is $1300Large, private furnished single bedroom with 3 other housemates in 20s and 30s (a working professional, a junior in UC Berkeley, and another roommate for the other room). 1.5 bathrooms - but one room has its own .5 bathroom, so 3 rooms share 1 bathroom."
studio for rent San Francisco,"$3,700","San Francisco, CA",
Shared Master Bedroom in Park Merced,$880,"San Francisco, CA",
Room Available for Immediate Move-In in the Mission!,"$1,350","San Francisco, CA",
Affordable Northside Apartment,$425,"Berkeley, CA","[Affordable Northside Apartment $425 with utilities] Sublet a Spot in Double for Winter Break-Rent = $425 (utilities included, i.e. electricity, water, garbage, and WiFi)
-Fully furnished with onsite laundry service
-Date: from mid-December 2018 to mid-January 2019 (very flexible, negotiable)
-Security deposit: half a month's rent"
Wine Rack,$50 Now $45,"San Francisco, CA",
Looking for a female flatemate - Sunnyvale/Mountain View,"$1,700","Santa Clara, CA",
Female roommates wanted,$850,"San Francisco, CA",
Housemate,$700,"Rohnert Park, CA",
Room Available In Apt,"$1,038","Oakland, CA","Room available in a two bedroom apartment in Temescal.
$1,038 includes rent, water, and garbage (PG&E and Wifi is extra but usually on the cheaper side!)."
Looking for a room mate! Renting converted living room.,"$1,558","San Francisco, CA",Amy Vaishnavv and I are looking for a third and/or fourth person to join us in our new apartment in Rincon Hill starting December 10th. Rent is $1858 for a spacious private flex room (with a door and wall) or $1558 (you'll have to provide your own wall/divider) plus utilities. You'll be getting your own private bathroom regardless*** The lease is 6 to 15 months.
Single Room in a Large 4 Bedroom House (short term and long term lease) 10 mins from Ashby BART,$650,"Irvine, CA","First month rent is HALF PRICE: 650$
After that, the rent is $1300Large, private furnished single bedroom with 3 other housemates in 20s and 30s (a working professional, a junior in UC Berkeley, and another roommate for the other room). 1.5 bathrooms - but one room has its own .5 bathroom, so 3 rooms share 1 bathroom."
Bookcase,$75,"San Francisco, CA",
2 BR Apartment Available in Nob Hill,"$3,100","San Francisco, CA",
Winter Break Sublet,FREE,"Berkeley, CA","Still need housing for winter break?Super chill roommates (and lovely cat), although chances are you'll have the house to yourself most of the time, as housemates will also be gone for break. Currently a veg house, but this isn't a requirement for subletting.
Full kitchen, bathroom, and very nice backyard set up. ~8 mins from campus."
Crate & Barrel apartment sofa + 5 x 8 modern wool rug,$425 Now $350,"San Francisco, CA","Modern tightback apartment sofa in ""Westwood Taupe"" manufactured in USA in the Shenandoah Valley."
Looking for 1 roommate in Hayes Valley!,"$1,875","San Francisco, CA","Hi! I'm looking for someone to fill my bedroom in Hayes Valley starting on January 1st. You'll be living with my sister, Emily! The rent is month to month, so temporary or permanent rooming is available."
Aerobed Airbed with builtin pump,$30,"San Francisco, CA",
Shared Room in Daly City,$750,"Daly City, CA","Shared room ready Jan 1st, $750 a month. The place is a stone's throw from Westlake Shopping Center, walking distance from BART, Muni, and SFSU, and close to Thorton Beach. It's fully furnished (frame/mattress provided). The household is coed (previously split 3-3), LGBTQ friendly, 420 friendly, and we have two feline friends.
You'll be sharing a room with me. I'm a recent SFSU graduate and server/bartender at a local pizza place. When it comes to my personal and professional relationships, I hold myself to an Honesty Only policy, and it's what I value most in a person (especially someone I might be splitting a room with).
The kind of roommate I'm looking for is just someone who's a good fit. We've all have cringy roommate stories. My last roommate was and still is a good friend of mine, and I'm sad to see her go, but family duties call. So I'm not just trying to fill the spot, I'm hoping to find someone I'll be just as comfortable and enjoy living with.
Moving in is always nerve racking for both parties: for you, not knowing what kind of household you're stepping into; and for me, the anxiety over whether or not we'll get along. So I'd like to meet up with any potential roommate, get to know each other a bit, and introduce you to the rest of Pink House.
Ps... webs are Halloween decor."
*GREAT CONDITION* SWIVEL CHAIR FOR SALE,$40,"Berkeley, CA",
1 Bed 1 Bath Room only,$950,"Oakland, CA",
2BD/2BA + Parking in SoMa,"$5,000","San Francisco, CA","Guys!The building has a super structure that can also be enjoyed, such as gym, indoor pool and sauna."
Dishes,$3,"San Pablo, CA","Soup bowls each for $3
Dinner plates each for $5
Small plates each for $3
Tea pots each for $10
Square bowls each for $3
Small vases each for $7
Deep plates each for $4"
Beautiful Marina Apartment for rent!,"$2,500","San Francisco, CA",
Room4 Rent,"$1,400","San Francisco, CA","3bed2ba
Sunset 20th av x Kirkham
available January 1
No couples
No pets
Street parking"
PRIVATE ROOM INNER RICHMOND,"$1,125","San Francisco, CA",
Immediate lease take over (10 months) - converted living room in luxury apartment,"$1,450","San Francisco, CA","Hello,"
"Furnished Master room with a walk in closet, 20 min to FiDi (west portal / forest hill)","$1,725","San Francisco, CA","Available now! Furnished newly remodeled room with private bath on the 1st floor of a West Portal home. Room comes furnished with a new bed, desk, sofa, and dresser. Room has a walk in closet and gets great light. House has washer/dryer in the garage as well as cardio equipment (treadmill, elliptical)."
Room available,"$1,450","San Francisco, CA",
MasterBedroom,"$1,400","Mountain View, CA","Hi Everyone,"
Warehouse Quitting business to clearance to 80% OFF retail price for 400 mattresses,$1,"Newark, CA","Sleep Healthy - Live Healthy (no more back issues)Serta Perfect Sleeper Elite King 13"" Pillow Top Plush mattress $399. It is 65% on floor sample clearance sale."
Room for Young Professional,$800,"Oakland, CA","Hello Everyone,"
Master Bedroom in 2B2B,"$1,700","San Francisco, CA",Master bedroom sublet available at South Beach Marina Apartment. Starting December 15 to Jan 15.
Room available,"$1,450","San Francisco, CA",
LARGE PRIVATE ROOM AVAILABLE IMMEDIATELY,"$1,400","San Francisco, CA","Hello hello!We are located on Taraval and 19th. There is a Safeway & laundromat one block over, as well as tons of bars and restaurants surrounding. The L Muni is on our block so easy access Union Square in less than 15 minutes. It's a 3 bedroom / 1 bathroom."
Room Available in Great North Beach Apartment (January 1st - long term),"$1,425","San Francisco, California",** Available January 1st: ideally looking for someone who will stay for at least a year**
Rad Room in 2 bdr Mission/Bernal House,"$2,000","San Francisco, CA",
Most Beautiful Bedroom in the Cleanest/Convenient neighborhood,"$2,980","San Francisco, CA",Hi everyone!
Two rooms still available,"$117,500 Now $1,175","Berkeley, CA",
"Furnished Master room with a walk in closet, 20 min to FiDi (west portal / forest hill)","$1,725","San Francisco, CA","Available now! Furnished newly remodeled room with private bath on the 1st floor of a West Portal home. Room comes furnished with a new bed, desk, sofa, and dresser. Room has a walk in closet and gets great light. House has washer/dryer in the garage as well as cardio equipment (treadmill, elliptical)."
Private 1bd/1ba in Large 3bd/2ba 'House',"$1,275","Alameda, CA",We have an entire floor in a mixed-use building that has three bedrooms and two bathrooms. We are currently offering one of the bedrooms as well as one of the bathrooms to an additional roommate or couple that may be interested. Ideal move-in is as soon as possible.
"Furnished Bedroom, convenient to downtown and SFSU (west portal / forest hill)","$1,525","San Francisco, CA","Available Jan 1st! Newly remodeled room with bed and desk on the 1st floor of a West Portal home. Room has a large closet and gets great light. You would share the bathroom with 1 other roommate. House has washer/dryer in the garage as well as cardio equipment (treadmill, elliptical). We also have a 2 x month cleaning service for common areas and bathrooms."
Room in modern 2BR/1BA Apartment close to Bart and 4th Street,"$1,650","Berkeley, CA","I have a room available that will be perfect for you to land on your feet. The apartment is fully furnished, very comfortable and cozy. You'll get your own room which is good sized. It comes with a desk, chair, twin mattress (it's new and not sketch), side table, and decent sized closet. You can take all or none of the furnishings in the room. It's your space, so please make it your own!"
Private room w/balcony,"$1,295","San Francisco, CA",
Entire floor 1br with private bath & fireplace SOMA - 3 level loft,"$2,500","San Francisco, CA","Hi guys,
My roommate is moving out and her space is available to move in.
I live in a 3-level 2bed/2bath (approx 1600 sqft) loft in SOMA.
You get to have your own entire floor which is approx 700 sqft.The building is located on the corner of 8th & Brennan. Very convenient for those commuting on a daily basis - I80, I280 freeway a block away. CalTrain station 4 blocks, 10 min walk. Muni #10 stop is kitty corner to our unit."
Sublet Opportunity in Russian Hill,"$1,700","San Francisco, CA",
Rolling Chair/Office Chair,$20,"Oakland, California",
Rad Room for Rent in 2 bdr Mission/Bernal House,"$2,150","San Francisco, CA",
COUPLES ACCEPTED - Private room with bathroom,"$1,525","San Francisco, CA","Hi everyone,The room is facing the garden, so it's very quiet. The kitchen is very well equipped and huge. All utilities included, internet, tv, etc..."
fully furnished private bedroo,"$2,000","San Francisco, CA",
Room in Dope Townhouse,"$1,650","San Francisco, CA",HeyLet's start with the much more....
Room in the Consciousness Hacking Home!,"$1,800","San Carlos, CA",
4 Beds 2 Baths House,"$3,500","Oakland, CA","Security Deposit: $3500
Utilities not included.
Front and back yard
Garage (4 cars)
Large kitchen
In unit laundry
Pet friendly, pet deposit $50/month"
Nail polish holder,$80,"Berkeley, CA",
Bedroom furniture,$65,"San Francisco, CA",
Room avalibale for subetting in Inner Richmond,$925,"San Francisco, CA",
MasterBedroom,"$1,400","Mountain View, CA","Hi Everyone,"
Most Beautiful Bedroom in the Cleanest/Convenient neighborhood,"$2,980","San Francisco, CA",Hi everyone!
Center Table,$80,"San Francisco, CA",
Furnished converted living room bedroom,"$1,400","San Francisco, CA",
Gray metal and wood framed smoked glass TV stand,$300,"San Francisco, CA",
Modern Glass Table including chairs,$300,"San Francisco, CA",
Private Room in San Francisco Downtown - daily $38,$38,"San Francisco, CA",
"ROOM FOR RENT IN SAN FRANCISCO DOGPATCH/MISSION BAY AREA 1800$ ALL UTILITIES INCLUDED.

Move in date: December 10.

Where: the Dogpatch is the sunniest part of SF, situated right between Potrero hill and mission Bay Area. There is tons of parking and the muni runs from across the street.

What: You will be sharing a 2 bedroom, 2 bathroom plus loft with a couple. You will have a full private room, with tons of closet space. Your rent includes all utilities.

Who we are: Jake, 28 and Maggie, 32 are very laid back. Maggie is a nurse at UCSF mission bay, and primarily works days. Jake works evenings and days in the service industry.

Who you are: ideally are around the same age, and you are clean.

We have an amazing spot, and would be more than happy to FaceTime and show you around. Our place tends to go pretty fast due to the location and size/niceness of the room and apartment...

So feel free to shoot us a text and we will get back to you ASAP!

cheers! Maggie/ [hidden information]","$1,800","San Francisco, CA","ROOM FOR RENT IN SAN FRANCISCO DOGPATCH/MISSION BAY AREA 1800$ ALL UTILITIES INCLUDED.What: You will be sharing a 2 bedroom, 2 bathroom plus loft with a couple. You will have a full private room, with tons of closet space. Your rent includes all utilities."
Furnished private 1 bedroom apartment on Market/Gough for December & January,"$2,500","San Francisco, CA",Hey there!
Private Room W/Balcony!,"$1,295","San Francisco, CA",
Entire floor 1br with private bath & fireplace SOMA - 3 level loft,"$2,500","San Francisco, CA","Hi guys,
My roommate is moving out and her space is available to move in.
I live in a 3-level 2bed/2bath (approx 1600 sqft) loft in SOMA.
You get to have your own entire floor which is approx 700 sqft.The building is located on the corner of 8th & Brennan. Very convenient for those commuting on a daily basis - I80, I280 freeway a block away. CalTrain station 4 blocks, 10 min walk. Muni #10 stop is kitty corner to our unit."
Master Bedroom with Private Bathroom,"$1,500","Berkeley, CA",
1 Bed 1 Bath Apartment for Rent,"$2,300","Stanford, California",
Room in penthouse with views and roofdeck! DECEMBER SPECIAL!,"$2,200",Mason Pacific,
Converted room at Bayside Village,"$1,100","Rochester, NY","A coverted bedroom with a shared bathroom available at Bayside Village starting 26th December 2018 for a 15 month lease. Bayside Village is a community apartment with facilities like gym, swimming pool, jacuzzi etc. The location is really convenient (Downtown SF) , minutes away from SoMa square and AT&T park. The rent will be $1100 a month(negotiable)."
"Furnished Master room with a walk in closet, 20 min to FiDi (west portal / forest hill)","$1,725","San Francisco, CA","Available now! Furnished newly remodeled room with private bath on the 1st floor of a West Portal home. Room comes furnished with a new bed, desk, sofa, and dresser. Room has a walk in closet and gets great light. House has washer/dryer in the garage as well as cardio equipment (treadmill, elliptical)."
"Furnished Bedroom, convenient to downtown and SFSU","$1,525","San Francisco, CA","Available Jan 1st! Newly remodeled room with bed and desk on the 1st floor of a West Portal home. Room has a large closet and gets great light. You would share the bathroom with 1 other roommate. House has washer/dryer in the garage as well as cardio equipment (treadmill, elliptical). We also have a 2 x month cleaning service for common areas and bathrooms."
Gorgeous Civic Center High-Rise Master Suite (Dec 10-Jan 20),"$2,300","San Francisco, CA",
Shared Temporary Accommodation in a Pent House (Downtown SF),$700,"San Francisco, CA","Available Immediately:
I am looking to sublease a shared bedroom for 1 month in a new penthouse 2BR/2.5 bath in downtown SOMA, SF. There are two spots in the room either you choose the semi-private space or the spacious shared room. The place is close to most companies and has fantastic amenities. The apartment is located next to Caltrain station and Muni, Safeway, Walgreens, Google Bus Stop in San Francisco. The unit has in-house washer, dryer and the facility has a gym. Also, a rooftop lounge is available for parties. It's walking/biking distance to SF downtown. It's very affordable considering the location.
Link: https://www.l7sf.com/
Rent: 700
Preferred date: Available immediately to December 31 or January. Flexible with the dates.
Comment or direct message me if you are interested. You can come visit the place anytime in the evening.
Ping me for the address
Video: https://youtu.be/oz165ZJIgmY"
(SOLD)Private Furnished Room-Inner Richmond-Sublet,"$1,200","San Francisco, CA",
Room with large (detached) walk-in closet in Mission,"$1,495","San Francisco, CA",
Private Room W/Balcony!,"$1,295","San Francisco, CA",
Private Bedroom with Private Bath,"$1,650","San Francisco, CA",1 Room for Rent in South San Francisco 2-bedroom/2-bath Luxury Condo - available immediately
Room for rent in the Inner Richmond District,"$1,350","San Francisco, CA","HOUSE FEATURES:
-Private single room with lots of natural light
-Room is approximately 170-190 sq ft.
-Newly remodeled home with brand new kitchenette
-1 full bathroom
-In building washer and dryer
-Rent includes high speed internet + dish TV
-Close by to many restaurants, shops, markets and stores
-Walking distance to Golden Gate Park, Mountain Lake Park & The Presidio
-Conveniently near many bus lines to downtown (38R, 38BX, 31BX, 1AX, 1BX)"
"Furnished 1 BR for Sublet (Mission, near Tartine Bakery & Dolores Park)",$1,"San Francisco, CA","Fully furnished 1 bedroom apartment in the heart of the Mission District. Unbeatable combination of location, size, and price. Available 12/1/18 to 1/9/19 (start and end date negotiable). I have a short application and am happy to share more photos too. Rate is negotiable."
Entire floor 1br with private bath & fireplace SOMA - 3 level loft,"$2,500","San Francisco, CA","Hi guys,
My roommate is moving out and her space is available to move in.
I live in a 3-level 2bed/2bath (approx 1600 sqft) loft in SOMA.
You get to have your own entire floor which is approx 700 sqft.The building is located on the corner of 8th & Brennan. Very convenient for those commuting on a daily basis - I80, I280 freeway a block away. CalTrain station 4 blocks, 10 min walk. Muni #10 stop is kitty corner to our unit."
Master Bedroom with Private Bathroom,"$1,500","Berkeley, CA",
Spacious Room with Walk in closet in the Marina,"$1,850","San Francisco, CA",Hi! I am renting out a spacious room with a large walk in closet in the Marina.
*Private Room 2BR/1.5 Bath Home* W/D in unit! Available Now!*,"$1,575","San Francisco, CA",
Pair of Pink Upholstered Chairs - vintage,$600,"San Francisco, CA",
1 Bed 1 Bath Private Suite in Apartment for Rent,"$2,300","San Francisco, CA",
[LEASE TAKEOVER] Master Bedroom with Private Bath in Newly Renovated Home,"$2,100","San Francisco, CA","Master bedroom with private bathroom in beautiful, newly renovated mansion (6 bed / 3.5 bath). Nicest rental I've seen in San Francisco. Amazing roommates - all male, mid 20s, working in tech, startups, and finance. Room can come furnished and would be a lease takeover starting on 1/1/19 - 9/30/19."
2 Beds 2 Baths Apartment/Condo,$636,94132-2334,
1 Bdrm in a 3 Bdrm,"$1,000","Oakland, CA",available now
Bedroom for Rent - 2bed/1bath Sunset home - bright ans happy !,"$1,450","San Francisco, CA","Looking for a professional female to share my 2 bed/1 bath amazing home!! This Sunset home is bright and spacious. It is located next to a Safeway and a beautiful park. Easy access to the N line as well as a good walk to Ocean Beach. Located in the middle of the Sunset. I do have two dogs who will be roaming the house during the day. The home is fully furnished. Lots of plants and lots of light. It's a very happy home. The room with the green tapestry is the room available. This is the room now but will be emptied and freshly painted before your arrival. The window looks into the super cute back yard. Also, I just (10/20) purchased a new oven which is also pictured!"
"Furnished Bedroom, convenient to downtown and SFSU (west portal / forest hill)","$1,525","San Francisco, CA","Available Jan 1st! Newly remodeled room with bed and desk on the 1st floor of a West Portal home. Room has a large closet and gets great light. You would share the bathroom with 1 other roommate. House has washer/dryer in the garage as well as cardio equipment (treadmill, elliptical). We also have a 2 x month cleaning service for common areas and bathrooms."
"Furnished Bedroom, convenient to downtown and SFSU (west portal / forest hill)","$1,525","San Francisco, CA","Available Jan 1st! Newly remodeled room with bed and desk on the 1st floor of a West Portal home. Room has a large closet and gets great light. You would share the bathroom with 1 other roommate. House has washer/dryer in the garage as well as cardio equipment (treadmill, elliptical). We also have a 2 x month cleaning service for common areas and bathrooms."
"Furnished Master room with a walk in closet, 20 min to FiDi (west portal / forest hill)","$1,725","San Francisco, CA","Available now! Furnished newly remodeled room with private bath on the 1st floor of a West Portal home. Room comes furnished with a new bed, desk, sofa, and dresser. Room has a walk in closet and gets great light. House has washer/dryer in the garage as well as cardio equipment (treadmill, elliptical)."
"Furnished Master room with a walk in closet, 20 min to FiDi (west portal / forest hill)","$1,725","San Francisco, CA","Available now! Furnished newly remodeled room with private bath on the 1st floor of a West Portal home. Room comes furnished with a new bed, desk, sofa, and dresser. Room has a walk in closet and gets great light. House has washer/dryer in the garage as well as cardio equipment (treadmill, elliptical)."
Room for rent - Sunset home - bright and happy !,"$1,450","San Francisco, CA","Room for rent in my home! Looking for a FEMALE with NO PETS to rent the extra bedroom in my 2bed/1 bath home. This sunset home is so bright and spacious. It is located next to a Safeway and a beautiful park. Easy access to the N line as well as a good walk to Ocean Beach. Located in the middle of the Sunset. I do have two dogs who will be roaming the house during the day. The home is fully furnished. Lots of plants and lots of light. It's a very happy home. Room is partly furnished or if needed could be emptied for your personal belongings. Window looks into the back yard. Also, I just (10/20) purchased a new oven which is also pictured!"
Sunny Furnished Room,"$1,490","San Francisco, CA","San Francisco - 7 minutes'walk to UCSFLocation & transportation here.Very quiet large house. Hardly to see people. 7 minutes walked to UCSF.Medium room/sink/fresh air/view. $1490. WiFi signal in the house common areas. Large eat in kitchen with cooking supplies.Sunny sitting room.Street parking only. City life.Location & transportation N Juda muni to down town or sunset in 15 minutes. Also, connect to Bart and Caltrain.Walk to Golden gate park, museums and Whole Food, Mcdonald, shopping town, restaurants and Haight street.Furnished Room with sink/sunny view/fresh air/WiFi signal in common areas.Bathrooms only couple steps out of room."
Christmas sign on wood,$15,"San Francisco, CA",
Brand new Moroccan Lattice Tassel rug,$160,"San Francisco, CA",
Beautiful Marina Apartment for rent!,"$2,500","San Francisco, CA",
Master Bedroom in SoMa with Private Bathroom,"$1,600","San Francisco, CA",
Private Room With Bathroom,"$1,495","San Francisco, CA",
Private Room in 3br/1 bath house for Rent,"$1,600","San Francisco, CA","Location: Bernal Heights
< 2 miles from 22nd St. Caltrain (34 min ride on Bullet to Stanford)
0.3 miles to 24th St. BART station
Walking distance to Mission District
Very Easy to get on freeway 101 and 280
Cafes and great restaurants within blocks
Very close to Safeway and Whole Foods
Easy street parking"
Two Spacious Rooms in Sunny Alamo Square Cooperative Living,$885,"San Francisco, CA","We're looking for someone/s to complete our home! Two of our beloved housemates are moving closer to work, and although we'll miss them terribly, we're excited to welcome new people into our home. Two rooms are opening in December.Move in dates are flexible! We'd love to have you come and stay with us! Lease is month-to-month. Perfect for friends or roomies who want to keep living together!"
"OFFERED: 1 Room in a 2BR/1BA Apartment in Richmond District, SF","$1,100","San Francisco, CA","Hi everyone, my roommate is moving out and I am looking for a person to take her place in a 2BR apartment in the Richmond district. We are around the corner on 22nd Ave and Geary Blvd. The apartment is located on the second floor of a modest three-story apartment complex. There are only about six units total; apartments located only on the second and third floors, parking on the first floor. It is a quiet apartment located in a quiet area. The apartment has a long hallway entrance, a spacious living room and ample kitchen space. Utils come to about $80-110/month. Ideally, you would start mid december."
